district_id,district_key,name,state
1,a5152d84-7a48-48a8-898a-ad438f4e01c6,Boise,ID
2,e16dec49-addb-460b-afd1-435ebb44ac40,Odessa,TX
3,8616beaf-4d9e-45db-a025-9193d8603be0,Erie,PA
4,5889c55e-4535-4cb7-8765-6a7fc4b1e248,Fort Smith,AR
5,54999a9e-5973-4682-8723-a075dce058dd,Shawnee Mission,KS
6,990496d2-1793-4645-bb7e-7a31d0ff7471,Pittsburgh,PA
7,dd3f2d19-266a-4a57-b07a-8b6fea245771,Washington,DC
8,a515a118-9542-4bb6-846f-db02f706c033,Fresno,CA
9,3dd6b762-c1b0-4209-9e81-1a616908e18f,Austin,TX
10,ef90211e-7918-4dc8-b8fe-f5b7146b8d14,Denver,CO
11,a4fa1c3a-654d-4179-ad3c-fd23492d4e42,Santa Monica,CA
12,38d305af-8748-468b-ab91-5291d73bc956,Carol Stream,IL
13,a27a036a-18c3-4c67-b50e-0c3190f579b9,Salt Lake City,UT
14,59a256e5-b7df-431d-b010-0e15a93af58e,South Bend,IN
15,d6938362-61e1-432e-a9e9-4c392df8f765,Corpus Christi,TX
16,e1ea1e86-0960-46e7-b70a-b10d19ed0905,San Jose,CA
17,9787f2f0-d209-455d-9352-516b2189ed97,Austin,TX
18,4963239d-e8d9-46ff-be1b-804d700f3047,Portland,ME
19,d7673450-bee3-414b-841e-4e898e2da4cb,Indianapolis,IN
20,c7b675fd-1e0e-40b5-85c8-cd9a6aeee320,Jersey City,NJ
21,42053d7f-65dd-4a3f-a1ad-0f8010f21ca5,Atlanta,GA
22,ff28be6d-55fa-46ab-a11f-6ddd21615b01,Tulsa,OK
23,422a5c6d-1570-4d87-ab60-62af2deffac4,London,KY
24,62df5852-8bcb-4a5e-a9bc-d89d7e87eeb4,Stockton,CA
25,cd364c7f-c0d4-4b47-8ea9-e37a2b8a9b57,Lake Worth,FL
26,e4350f55-5e02-4cc1-ab9e-5f898320990e,Lehigh Acres,FL
27,972c1223-1900-4b22-8f2c-745b21ac08e8,Cincinnati,OH
28,e2115367-113a-46f1-a432-d9eed6bee0ca,Sacramento,CA
29,a69e73fe-047a-4c17-bceb-fd848e2a1d0a,Billings,MT
30,07f91f7d-ae1b-4cb4-a7ad-928deef98f2e,Minneapolis,MN
31,f0efa55f-cc32-4456-ac4b-1dd3e40ea3f0,Omaha,NE
32,69c2a412-8ead-4b75-9749-6f1906d1dcd9,Amarillo,TX
33,548f5d40-add0-470a-a797-4333fbd89177,San Francisco,CA
34,6dd884cf-5ef3-4c28-8afa-de25913d7754,Stockton,CA
35,177401dc-4bd4-4b36-84b6-b10adae63a78,Reno,NV
36,7566fb83-9ef7-4b24-b18e-ce4f2548daa7,Dallas,TX
37,7a7a829d-9552-4283-b416-6e5c3ae408f8,Sparks,NV
38,cd4ef746-5e63-4373-ae12-ae64ef85ff00,San Francisco,CA
39,2c862d3d-7958-46ef-82dc-fa90b543ac37,Midland,TX
40,703a8364-e4dc-42d2-93ee-7f3a8770f408,Northridge,CA
41,98592468-9fda-4e5e-9fa9-da601fc74e7c,Odessa,TX
42,c90d3aae-9b82-4268-8e4a-d9e9b3e3af1f,Wichita,KS
43,178f6359-b096-4f2b-bb5a-f684bf18e778,Denver,CO
44,d49e4d19-3754-4d95-9ce2-3453e39d8e89,Durham,NC
45,ec3df9e7-111e-4edf-97ef-3b359dc82364,Monroe,LA
46,17857b0d-6314-4177-8b14-5d16da69d76f,Silver Spring,MD
47,51de8371-7608-4a9f-acab-548e52f978e5,Minneapolis,MN
48,4e4feae4-20a0-4435-9eec-5551ac0aba9d,Moreno Valley,CA
49,bb3891bf-95dd-4775-97fa-0262f0cdadb4,Fresno,CA
