district_id,district_key,name,state
1,377cf2da-bd49-4eb7-b157-f7e95223f7ea,Dallas,TX
2,2f65792d-f3bd-496c-95ee-04657428ef39,Saint Louis,MO
3,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd,Tempe,AZ
4,a017527b-6817-4c97-bca1-4a023eacfd79,Fort Smith,AR
5,097f4155-11a9-4eb0-8d42-23f7d1373988,Little Rock,AR
6,c76fe2e3-3dd2-4a5e-902f-5b379a0b131f,Sarasota,FL
7,1bf03ef1-20f6-45fd-bd42-a4f4f983b8c5,Denver,CO
8,e692db0f-1d97-493d-9be8-c29842fd75f8,Phoenix,AZ
9,24936a96-2a63-4825-b175-a6a5aecc0a9a,Glendale,AZ
10,81c8e4c0-ee41-4534-b141-a2d78b4bcd95,Saint Paul,MN
11,427cd7cf-c1fa-4904-8ae2-14b72c690469,Washington,DC
12,3fec3d5d-876d-4dc7-b274-e76eb8c33c07,Houston,TX
13,824fd6de-5d29-40a2-b31c-f4385c166697,Chattanooga,TN
14,0a330481-f7ce-43a7-b873-9a44c3a36bfb,Green Bay,WI
15,0d20ed56-48e2-4787-9dd3-b865554830d1,Norfolk,VA
16,657e8a1e-0297-4c5e-87a6-1afd8c6f0bcf,Houston,TX
17,ff35ec4a-9cea-4756-8dfa-a79626788ace,Minneapolis,MN
18,c94aaaef-39b9-4f02-b923-e942dc20f9d2,Frederick,MD
19,47f0fb52-480c-44b3-a3b0-4695a96a4855,Erie,PA
20,a1dcee8f-5fd1-44fa-8073-806512de3e54,San Jose,CA
21,c851da6c-22b6-4b96-87c3-83e3e3108b51,Charlotte,NC
22,cb49f066-be85-4083-bb32-52f32818af79,Santa Barbara,CA
23,08ecae27-ccf2-486e-9918-2eb306d23f0f,Los Angeles,CA
24,671b0e44-330d-46c7-8109-dff8e55f5380,Macon,GA
25,40413f56-4f1a-4219-9104-b0d0f7a44bcc,Birmingham,AL
26,2a50b594-4ab2-4d71-b600-140470f4645a,Colorado Springs,CO
27,37ba605b-d496-46d1-9f71-a5c17a96c6b9,Houston,TX
28,da8bdc84-e2a6-4ff5-a954-a1a0091d9239,El Paso,TX
29,314f828e-db9b-4ff7-b498-4bd3ad1a9eba,Alexandria,VA
30,0fa6882c-760c-4771-befb-c50fe21d9ea7,Des Moines,IA
31,4e4eac61-9ba6-4b22-bf05-ac421b68ca69,San Diego,CA
32,12cc0a92-9c44-4283-b50b-a2c5c0423372,Fort Lauderdale,FL
33,4d6a45af-9a1b-4d80-8cd1-6ca686247e42,Eugene,OR
34,1c09a51a-afc7-4f9e-af87-18032ff28d51,Fort Wayne,IN
35,fff768f6-a0ef-4354-8812-ae8000c77526,Los Angeles,CA
36,d9cef964-d775-4235-abd4-3db19cadcf4a,Pompano Beach,FL
37,7bae7b16-642b-4b54-b040-5be0ce4a46b2,Richmond,VA
38,1b478b9d-c358-47e5-947e-4068b0e8729d,Springfield,VA
39,7e910e85-89bb-46eb-944f-9976131641c8,Boca Raton,FL
40,95c30ad9-6961-4295-8d28-95ce59975c63,Atlanta,GA
41,bbabb9c1-b31f-47c7-8f6b-9bfd2c3f70ac,Dallas,TX
